name	km
burk	1.2612752855575462e-12
cdikc	0.0
dakp	0.0
digl	0.0
dikc	2.5235747004079836e-12
dima	0.0
dolk	7.073230889886872e-13
dort	0.0
dusa	0.0
dusb	0.0
hara	0.0
kali	0.0
kame	0.0
karo	0.0
kiri	1.2608090718577148e-12
labr	0.0
mapt	1.2608090718577148e-12
mart	0.0
mori	0.0
nyrb	1.3098756838443147e-12
nyrc	1.2604823255199689e-12
pach	0.0
pipp	0.0
raid	1.3098756838443147e-12
rich	1.3098756838443147e-12
rind	1.309112081622316e-12
ring	1.309112081622316e-12
rong	0.0
sher	0.0
sing	0.0
thew	0.0
thri	1.2573855275336574e-12
tsri	2.511841937504243e-12
unar	2.516089693947173e-12
yong	2.516089693947173e-12
yued	0.0
zarp	1.2618803661281193e-12
