	dort	pach	sing	pipp	kali	labr	kame	cdikc	hara	dikc	dolk	burk	thew	rong	dakp	rind	kiri	yued	zarp	thri	mori	unar	sher	dusa	nyrc	tsri	mart	dima	nyrb	digl
dort	0.0	18.68608074594687	165.31311914269105	167.07078359854066	267.0302032635988	274.02297604431936	466.58622430101343	458.13273691532726	446.3516564862017	302.282916915022	326.5742445680569	321.3650204639652	337.3519825359447	345.49795844403224	539.1312472436958	462.1011282922416	452.78449672746245	440.37050606276813	408.9926714574049	562.3069147324154	551.5788664979625	539.0681938415008	590.0128556732354	390.26785774560403	437.28679469134283	674.8021323748205	405.2698011406303	379.313520611397	418.93974623750154	400.495028629589
pach	18.68608074594687	0.0	183.99919988863795	185.75686434448752	285.71628400954575	292.7090567902663	485.27230504696024	476.8188176612741	465.0377372321486	320.9689976609689	345.2603253140038	340.0511012099121	356.03806328189165	364.18403918997916	557.8173279896426	480.78720903818845	471.4705774734093	459.056586808715	427.6787522033518	580.9929954783623	570.2649472439094	557.7542745874478	608.6989364191821	408.95393849155096	455.97287543728976	693.4882131207675	423.95588188657723	397.99960135734386	437.6258269834484	419.18110937553587
sing	165.31311914269105	183.99919988863795	0.0	190.44698094643041	290.4064006114886	297.39917339220915	489.96242164890316	481.50893426321704	469.7278538340915	325.65911426291177	349.95044191594667	344.74121781185494	360.7281798838345	368.874155791922	562.5074445915856	485.4773256401313	476.1606940753522	463.7467034106579	432.36886880529465	585.6831120803051	574.9550638458522	562.4443911893906	613.389053021125	413.6440550934938	460.6629920392326	698.1783297227104	428.6459984885201	402.6897179592867	442.3159435853913	423.8712259774788
pipp	167.07078359854066	185.75686434448752	190.44698094643041	0.0	272.3258720062932	279.31864478701374	471.8818930437078	463.4284056580216	451.6473252288962	307.57858565771636	331.8699133107513	326.6606892066595	342.64765127863916	350.7936271867266	544.4269159863902	467.3967970349359	458.08016547015677	445.6661748054625	414.2883402000993	567.6025834751098	556.8745352406569	544.3638625841952	595.3085244159297	395.56352648829846	442.5824634340373	680.097801117515	410.56546988332474	384.6091893540914	424.23541498019597	405.79069737228343
kali	267.0302032635988	285.71628400954575	290.4064006114886	272.3258720062932	0.0	18.53952055539109	211.10276881208512	202.64928142639897	190.86820099727348	332.12266399892314	356.41399165195804	351.20476754786625	367.19172961984583	375.3377055279334	568.9709943275969	491.9408753761427	482.62424381136356	470.21025314666923	438.832418541306	592.1466618163165	581.4186135818636	568.9079409254019	619.8526027571364	420.1076048295052	467.126541775244	704.6418794587217	435.1095482245314	409.15326769529804	448.7794933214027	430.33477571349016
labr	274.02297604431936	292.7090567902663	297.39917339220915	279.31864478701374	18.53952055539109	0.0	199.42515386718813	190.97166648150198	179.19058605237646	339.11543677964363	363.4067644326786	358.1975403285868	374.1845024005664	382.33047830865394	575.9637671083174	498.9336481568632	489.61701659208404	477.2030259273898	445.82519132202657	599.139434597037	588.411386362584	575.9007137061225	626.845375537857	427.1003776102257	474.11931455596454	711.6346522394423	442.10232100525195	416.1460404760186	455.77226610212324	437.3275484942107
kame	466.58622430101343	485.27230504696024	489.96242164890316	471.8818930437078	211.10276881208512	199.42515386718813	0.0	8.453487385686136	64.63816910831765	531.6786850363376	555.9700126893727	550.7607885852808	566.7477506572603	574.8937265653478	768.5270153650115	691.4968964135572	682.180264848778	669.7662741840838	638.3884395787206	791.7026828537312	780.9746346192783	768.4639619628165	819.408623794551	619.6636258669197	666.6825628126586	904.1979004961362	634.665569261946	608.7092887327126	648.3355143588171	629.8907967509048
cdikc	458.13273691532726	476.8188176612741	481.50893426321704	463.4284056580216	202.64928142639897	190.97166648150198	8.453487385686136	0.0	56.18468172263152	523.2251976506515	547.5165253036864	542.3073011995947	558.2942632715743	566.4402391796617	760.0735279793253	683.0434090278711	673.7267774630919	661.3127867983976	629.9349521930345	783.2491954680451	772.521147233592	760.0104745771304	810.955136408865	611.2101384812336	658.2290754269725	895.7444131104501	626.2120818762598	600.2558013470265	639.8820269731312	621.4373093652187
hara	446.3516564862017	465.0377372321486	469.7278538340915	451.6473252288962	190.86820099727348	179.19058605237646	64.63816910831765	56.18468172263152	0.0	511.44411722152597	535.7354448745609	530.5262207704692	546.5131828424487	554.6591587505363	748.2924475501998	671.2623285987456	661.9456970339664	649.5317063692721	618.153871763909	771.4681150389196	760.7400668044664	748.2293941480048	799.1740559797394	599.4290580521081	646.447994997847	883.9633326813246	614.4310014471343	588.474720917901	628.1009465440056	609.656228936093
dikc	302.282916915022	320.9689976609689	325.65911426291177	307.57858565771636	332.12266399892314	339.11543677964363	531.6786850363376	523.2251976506515	511.44411722152597	0.0	287.3360654330616	282.1268413289699	298.11380340094945	306.25977930903696	499.8930681087005	422.86294915724625	413.5463175924671	401.13232692777285	369.75449232240965	523.0687355974202	512.3406873629672	499.8300147065055	550.77467653824	351.0296786106088	398.0486155563476	635.5639532398253	366.0316220056351	340.0753414764018	379.70156710250626	361.2568494945938
dolk	326.5742445680569	345.2603253140038	349.95044191594667	331.8699133107513	356.41399165195804	363.4067644326786	555.9700126893727	547.5165253036864	535.7354448745609	287.3360654330616	0.0	248.42968057260154	264.4166426445811	272.56261855266865	466.1959073523322	389.16578840087794	379.8491568360988	367.4351661714045	336.05733156604134	489.3715748410519	478.64352660659887	466.1328539501372	517.0775157818717	317.33251785424045	364.3514547999793	601.866792483457	332.33446124926667	306.3781807200334	346.00440634613796	327.5596887382254
burk	321.3650204639652	340.0511012099121	344.74121781185494	326.6606892066595	351.20476754786625	358.1975403285868	550.7607885852808	542.3073011995947	530.5262207704692	282.1268413289699	248.42968057260154	0.0	75.40280654918287	83.54878245727038	419.1981962295546	342.1680772781003	332.8514457133212	320.43745504862693	289.05962044326367	442.3738637182742	431.6458154838213	419.13514282735963	470.0798046590941	270.33480673146283	317.35374367720163	554.8690813606794	285.33675012648916	259.38046959725585	299.0066952233604	280.56197761544786
thew	337.3519825359447	356.03806328189165	360.7281798838345	342.64765127863916	367.19172961984583	374.1845024005664	566.7477506572603	558.2942632715743	546.5131828424487	298.11380340094945	264.4166426445811	75.40280654918287	0.0	8.145975908087502	435.18515830153416	358.15503935007996	348.83840778530083	336.42441712060645	305.0465825152433	458.36082579025384	447.6327775558008	435.12210489933915	486.06676673107376	286.32176880344247	333.3407057491813	570.8560434326589	301.32371219846874	275.36743166923543	314.99365729534	296.54893968742743
rong	345.49795844403224	364.18403918997916	368.874155791922	350.7936271867266	375.3377055279334	382.33047830865394	574.8937265653478	566.4402391796617	554.6591587505363	306.25977930903696	272.56261855266865	83.54878245727038	8.145975908087502	0.0	443.3311342096216	366.3010152581674	356.9843836933883	344.57039302869396	313.1925584233308	466.50680169834135	455.77875346388834	443.2680808074267	494.21274263916126	294.46774471153	341.4866816572688	579.0020193407465	309.46968810655625	283.51340757732294	323.1396332034275	304.69491559551494
dakp	539.1312472436958	557.8173279896426	562.5074445915856	544.4269159863902	568.9709943275969	575.9637671083174	768.5270153650115	760.0735279793253	748.2924475501998	499.8930681087005	466.1959073523322	419.1981962295546	435.18515830153416	443.3311342096216	0.0	77.03011895145424	86.34675051623337	98.76074118092765	182.3135193041171	335.6277625791277	324.89971434467463	312.38904168821296	363.33370351994756	388.35858460430876	495.49305011392	448.1229802215328	403.360527999335	437.51977603397404	477.14600166007864	458.7012840521661
rind	462.1011282922416	480.78720903818845	485.4773256401313	467.3967970349359	491.9408753761427	498.9336481568632	691.4968964135572	683.0434090278711	671.2623285987456	422.86294915724625	389.16578840087794	342.1680772781003	358.15503935007996	366.3010152581674	77.03011895145424	0.0	9.316631564779142	21.73062222947343	105.28340035266287	258.59764362767345	247.86959539322046	235.35892273675876	286.3035845684933	311.3284656528545	418.46293116246574	371.09286127007863	326.3304090478807	360.4896570825198	400.11588270862444	381.67116510071185
kiri	452.78449672746245	471.4705774734093	476.1606940753522	458.08016547015677	482.62424381136356	489.61701659208404	682.180264848778	673.7267774630919	661.9456970339664	413.5463175924671	379.8491568360988	332.8514457133212	348.83840778530083	356.9843836933883	86.34675051623337	9.316631564779142	0.0	12.413990664694287	95.96676878788372	249.28101206289426	238.55296382844134	226.04229117197963	276.9869530037142	302.0118340880754	409.1462995976866	361.77622970529944	317.0137774831016	351.1730255177407	390.79925114384525	372.3545335359327
yued	440.37050606276813	459.056586808715	463.7467034106579	445.6661748054625	470.21025314666923	477.2030259273898	669.7662741840838	661.3127867983976	649.5317063692721	401.13232692777285	367.4351661714045	320.43745504862693	336.42441712060645	344.57039302869396	98.76074118092765	21.73062222947343	12.413990664694287	0.0	83.55277812318946	236.86702139819997	226.13897316374698	213.62830050728533	264.57296233901985	289.59784342338105	396.73230893299234	349.36223904060506	304.5997868184073	338.7590348530464	378.385260479151	359.94054287123845
zarp	408.9926714574049	427.6787522033518	432.36886880529465	414.2883402000993	438.832418541306	445.82519132202657	638.3884395787206	629.9349521930345	618.153871763909	369.75449232240965	336.05733156604134	289.05962044326367	305.0465825152433	313.1925584233308	182.3135193041171	105.28340035266287	95.96676878788372	83.55277812318946	0.0	153.3142432750105	142.58619504055756	130.07552238409588	181.0201842158304	258.2200088180179	365.3544743276291	265.8094609174157	273.2219522130441	307.3812002476832	347.0074258737878	328.56270826587524
thri	562.3069147324154	580.9929954783623	585.6831120803051	567.6025834751098	592.1466618163165	599.139434597037	791.7026828537312	783.2491954680451	771.4681150389196	523.0687355974202	489.3715748410519	442.3738637182742	458.36082579025384	466.50680169834135	335.6277625791277	258.59764362767345	249.28101206289426	236.86702139819997	153.3142432750105	0.0	10.72804823445296	23.238720890914642	176.5147847256068	411.53425209302833	518.6687176026396	261.30406142719204	426.53619548805466	460.69544352269367	500.3216691487983	481.8769515408858
mori	551.5788664979625	570.2649472439094	574.9550638458522	556.8745352406569	581.4186135818636	588.411386362584	780.9746346192783	772.521147233592	760.7400668044664	512.3406873629672	478.64352660659887	431.6458154838213	447.6327775558008	455.77875346388834	324.89971434467463	247.86959539322046	238.55296382844134	226.13897316374698	142.58619504055756	10.72804823445296	0.0	12.510672656461683	165.78673649115385	400.80620385857543	507.9406693681867	250.57601319273908	415.8081472536017	449.96739528824077	489.59362091434537	471.1489033064328
unar	539.0681938415008	557.7542745874478	562.4443911893906	544.3638625841952	568.9079409254019	575.9007137061225	768.4639619628165	760.0104745771304	748.2293941480048	499.8300147065055	466.1328539501372	419.13514282735963	435.12210489933915	443.2680808074267	312.38904168821296	235.35892273675876	226.04229117197963	213.62830050728533	130.07552238409588	23.238720890914642	12.510672656461683	0.0	153.27606383469217	388.29553120211375	495.429996711725	238.0653405362774	403.29747459713997	437.4567226317791	477.08294825788374	458.63823064997115
sher	590.0128556732354	608.6989364191821	613.389053021125	595.3085244159297	619.8526027571364	626.845375537857	819.408623794551	810.955136408865	799.1740559797394	550.77467653824	517.0775157818717	470.0798046590941	486.06676673107376	494.21274263916126	363.33370351994756	286.3035845684933	276.9869530037142	264.57296233901985	181.0201842158304	176.5147847256068	165.78673649115385	153.27606383469217	0.0	439.24019303384824	546.3746585434595	84.78927670158525	454.2421364288745	488.4013844635137	528.0276100896182	509.58289248170564
dusa	390.26785774560403	408.95393849155096	413.6440550934938	395.56352648829846	420.1076048295052	427.1003776102257	619.6636258669197	611.2101384812336	599.4290580521081	351.0296786106088	317.33251785424045	270.33480673146283	286.32176880344247	294.46774471153	388.35858460430876	311.3284656528545	302.0118340880754	289.59784342338105	258.2200088180179	411.53425209302833	400.80620385857543	388.29553120211375	439.24019303384824	0.0	346.62966061582824	524.0294697354335	36.535766543085366	288.65638653588235	328.2826121619869	309.83789455407435
nyrc	437.28679469134283	455.97287543728976	460.6629920392326	442.5824634340373	467.126541775244	474.11931455596454	666.6825628126586	658.2290754269725	646.447994997847	398.0486155563476	364.3514547999793	317.35374367720163	333.3407057491813	341.4866816572688	495.49305011392	418.46293116246574	409.1462995976866	396.73230893299234	365.3544743276291	518.6687176026396	507.9406693681867	495.429996711725	546.3746585434595	346.62966061582824	0.0	631.1639352450447	361.6316040108545	211.28728887556514	43.10841457600566	48.853874637469616
tsri	674.8021323748205	693.4882131207675	698.1783297227104	680.097801117515	704.6418794587217	711.6346522394423	904.1979004961362	895.7444131104501	883.9633326813246	635.5639532398253	601.866792483457	554.8690813606794	570.8560434326589	579.0020193407465	448.1229802215328	371.09286127007863	361.77622970529944	349.36223904060506	265.8094609174157	261.30406142719204	250.57601319273908	238.0653405362774	84.78927670158525	524.0294697354335	631.1639352450447	0.0	539.0314131304598	573.1906611650988	612.8168867912034	594.372169183291
mart	405.2698011406303	423.95588188657723	428.6459984885201	410.56546988332474	435.1095482245314	442.10232100525195	634.665569261946	626.2120818762598	614.4310014471343	366.0316220056351	332.33446124926667	285.33675012648916	301.32371219846874	309.46968810655625	403.360527999335	326.3304090478807	317.0137774831016	304.5997868184073	273.2219522130441	426.53619548805466	415.8081472536017	403.29747459713997	454.2421364288745	36.535766543085366	361.6316040108545	539.0314131304598	0.0	303.6583299309086	343.2845555570132	324.8398379491007
dima	379.313520611397	397.99960135734386	402.6897179592867	384.6091893540914	409.15326769529804	416.1460404760186	608.7092887327126	600.2558013470265	588.474720917901	340.0753414764018	306.3781807200334	259.38046959725585	275.36743166923543	283.51340757732294	437.51977603397404	360.4896570825198	351.1730255177407	338.7590348530464	307.3812002476832	460.69544352269367	449.96739528824077	437.4567226317791	488.4013844635137	288.65638653588235	211.28728887556514	573.1906611650988	303.6583299309086	0.0	192.94024042172381	174.49552281381128
nyrb	418.93974623750154	437.6258269834484	442.3159435853913	424.23541498019597	448.7794933214027	455.77226610212324	648.3355143588171	639.8820269731312	628.1009465440056	379.70156710250626	346.00440634613796	299.0066952233604	314.99365729534	323.1396332034275	477.14600166007864	400.11588270862444	390.79925114384525	378.385260479151	347.0074258737878	500.3216691487983	489.59362091434537	477.08294825788374	528.0276100896182	328.2826121619869	43.10841457600566	612.8168867912034	343.2845555570132	192.94024042172381	0.0	30.50682618362832
digl	400.495028629589	419.18110937553587	423.8712259774788	405.79069737228343	430.33477571349016	437.3275484942107	629.8907967509048	621.4373093652187	609.656228936093	361.2568494945938	327.5596887382254	280.56197761544786	296.54893968742743	304.69491559551494	458.7012840521661	381.67116510071185	372.3545335359327	359.94054287123845	328.56270826587524	481.8769515408858	471.1489033064328	458.63823064997115	509.58289248170564	309.83789455407435	48.853874637469616	594.372169183291	324.8398379491007	174.49552281381128	30.50682618362832	0.0
