Label	Node	Index	Names
dort	(89.37291666666616, 26.868749999999572)	0	dort
pach	(89.38333333333279, 26.929166666666255)	1	pach
sing	(89.44791666666626, 26.839583333332932)	2	sing
pipp	(89.73541666666611, 26.7645833333329)	3	pipp
kali	(89.83958333333291, 26.706249999999606)	4	kali
labr	(89.88541666666615, 26.756249999999547)	5	labr
kame	(90.03124999999946, 27.27291666666624)	6	kame,karo
cdikc	(90.03958333333279, 27.264583333332887)	7	cdikc
hara	(90.1520833333328, 27.218749999999567)	8	hara
dikc	(90.26874999999947, 26.881249999999547)	9	dikc
dolk	(90.34374999999952, 26.877083333332898)	10	dolk
burk	(90.39374999999947, 26.927083333332924)	11	burk
thew	(90.5104166666662, 26.92291666666626)	12	thew
rong	(90.5104166666662, 26.947916666666252)	13	rong
dakp	(90.68958333333276, 27.14791666666624)	14	dakp
rind	(90.83541666666613, 27.002083333332898)	15	rind,ring
kiri	(90.86041666666617, 26.968749999999595)	16	kiri,mapt
yued	(90.8687499999995, 26.935416666666235)	17	yued
zarp	(91.07291666666609, 26.872916666666235)	18	zarp
thri	(91.14791666666619, 27.27291666666624)	19	thri
mori	(91.1937499999996, 27.260416666666224)	20	mori
unar	(91.20624999999941, 27.214583333332904)	21	unar,yong
sher	(91.41041666666618, 27.252083333332912)	22	sher
dusa	(91.49791666666616, 26.810416666666235)	23	dusa,dusb
nyrc	(91.54791666666617, 26.997916666666235)	24	nyrc
tsri	(91.55208333333283, 27.402083333332904)	25	tsri
mart	(91.56458333333288, 26.872916666666235)	26	mart
dima	(91.59791666666612, 26.887499999999584)	27	dima
nyrb	(91.67708333333283, 26.931249999999586)	28	nyrb,raid,rich
digl	(91.75208333333276, 26.893749999999564)	29	digl
